Código,cuenta,precio_n_unique,precio_min_unique,precio_max_unique,precio_range_unique
N90.1,1,1.0,1243133.3388,1243133.3388,0.0
N92.1,1,1.0,658950.0,658950.0,0.0
N92.6,1,1.0,790050.0,790050.0,0.0
N94.8,1,1.0,3693160.8351,3693160.8351,0.0
O00.2,1,1.0,1818915.6855,1818915.6855,0.0
O03.1,1,1.0,845634.8206,845634.8206,0.0
O04.1,1,1.0,845634.8206,845634.8206,0.0
O04.9,1,1.0,452400.0,452400.0,0.0
N39.4,1,1.0,1036375.8678,1036375.8678,0.0
N36.0,1,1.0,1064525.946,1064525.946,0.0
O08.9,1,1.0,1152535.3859,1152535.3859,0.0
N35.8,1,1.0,2599675.9006,2599675.9006,0.0
M70.56,1,1.0,721500.0,721500.0,0.0
M72.64,1,1.0,2927446.3515,2927446.3515,0.0
M72.66,1,1.0,1299450.0,1299450.0,0.0
M79.66,1,1.0,694350.0,694350.0,0.0
M86.98,1,1.0,2778600.0,2778600.0,0.0
M94.08,1,1.0,630450.0,630450.0,0.0
N12,1,1.0,638700.0,638700.0,0.0
N13.0,1,1.0,2108020.2244,2108020.2244,0.0
N13.8,1,1.0,2879882.4262,2879882.4262,0.0
N13.9,1,1.0,938250.0,938250.0,0.0
N15.1,1,1.0,855150.0,855150.0,0.0
N15.8,1,1.0,1141500.0,1141500.0,0.0
N18.3,1,1.0,1769850.0,1769850.0,0.0
N20.9,1,1.0,1769572.1576,1769572.1576,0.0
N21.1,1,1.0,789000.0,789000.0,0.0
N25.8,1,1.0,1432050.0,1432050.0,0.0
